"Behoerde","Delikt","Monat","bekanntgewordeneFaelle","davonVersuche","Aufklaerungsquote","longitude","latitude"
"Aachen","Einbruchdelikte","Oktober 2019",249,93,13.25,6.083862,50.776351
"Aachen","Einbruchdelikte","September 2019",213,85,15.02,6.083862,50.776351
"Aachen","Einbruchdelikte","August 2019",175,70,14.29,6.083862,50.776351
"Aachen","Einbruchdelikte","Juli 2019",197,70,21.32,6.083862,50.776351
"Aachen","Einbruchdelikte","Juni 2019",247,94,9.31,6.083862,50.776351
"Aachen","Einbruchdelikte","Mai 2019",359,125,8.91,6.083862,50.776351
"Aachen","Einbruchdelikte","April 2019",203,76,12.81,6.083862,50.776351
"Aachen","Einbruchdelikte","März 2019",267,113,7.49,6.083862,50.776351
"Aachen","Einbruchdelikte","Februar 2019",280,128,11.79,6.083862,50.776351
"Aachen","Einbruchdelikte","Januar 2019",345,123,6.96,6.083862,50.776351
"Aachen","Einbruchdelikte","Dezember 2018",225,78,10.22,6.083862,50.776351
"Aachen","Einbruchdelikte","November 2018",261,117,9.2,6.083862,50.776351
"Aachen","Einbruchdelikte","Oktober 2018",266,106,4.51,6.083862,50.776351
"Aachen","Einbruchdelikte","Oktober 2014",407,195,9.58,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Oktober 2019",116,55,14.66,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","September 2019",78,41,25.64,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","August 2019",69,33,26.09,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Juli 2019",63,23,31.75,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Juni 2019",69,34,15.94,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Mai 2019",149,55,6.71,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","April 2019",68,29,26.47,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","März 2019",71,33,16.9,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Februar 2019",64,28,4.69,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Januar 2019",118,44,5.08,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Dezember 2018",129,50,10.08,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","November 2018",84,41,15.48,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Oktober 2018",77,40,9.09,6.083862,50.776351
"Aachen","Wohnungseinbruchdiebstahl","Oktober 2014",216,120,6.02,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Oktober 2019",43,17,20.93,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","September 2019",33,14,21.21,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","August 2019",29,11,17.24,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Juli 2019",26,9,30.77,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Juni 2019",14,9,7.14,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Mai 2019",48,16,8.33,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","April 2019",25,8,24,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","März 2019",25,11,28,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Februar 2019",19,5,0,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Januar 2019",40,13,2.5,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Dezember 2018",36,17,11.11,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","November 2018",23,13,21.74,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Oktober 2018",26,14,3.85,6.083862,50.776351
"Aachen","Tageswohnungs-einbruchdiebstahl","Oktober 2014",78,32,2.56,6.083862,50.776351
